Country,Age group,Gender,Role,AI usage frequency,Tasks to automate ,Tasks needing human oversight,AI makes routine tasks easier (1–5),Comfort with AI low-risk decisions (1–5),Worry about AI making sensitive decisions (1–5),Human judgment essential for creative tasks (1–5),Trust AI to act responsibly (1–5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
United Kingdom,18–25,Male,Working Professional,Daily,Research & Information,Medical & Health Decisions,4,3,5,4,3,Time-consuming administrative work,High-risk tasks,Yes,Accuracy and reliability of results,Cautious,Yes,Shared control,Human final approval required
Australia,18–25,Male,Working Professional,Daily,Study & Learning Support,Medical & Health Decisions,5,2,2,3,4,Time-consuming administrative work,High-risk tasks,No,Familiarity and training,Curious but worried,Yes,AI handles small tasks only,Human final approval required
India,18–25,Male,Student,Daily,Study & Learning Support,Ethical & Human Rights,4,2,2,3,4,Low-risk tasks,Sensitive personal data,Yes,Human oversight,Mixed,No,Both integration,Assist only when asked
Middle Eastern,18–25,Female,Student,Daily,Study & Learning Support,Ethical & Human Rights,2,4,2,3,5,Data-driven or analytical tasks,Sensitive personal data,Yes,Accuracy and reliability of results,Cautious,No,Shared control,Assist only when asked
Other,18–25,Female,Student,Daily,Repetitive & Routine Tasks,Ethical & Human Rights,3,3,5,3,4,Analytical tasks,Involves sensitive/personal information,Yes,Training,Ambivalent,No,Shared control,Do not hallucinate
United Kingdom,18–25,Male,Student,Daily,Repetitive & Routine Tasks,Hiring & Career Decisions,5,2,5,4,3,Time-consuming administrative work,Involves sensitive/personal information,No,Familiarity and training,Positive,No,Human supervision always,Do not hallucinate
Middle Eastern,26–60,Female,Student,Daily,Study & Learning Support,Legal & Policy Decisions,4,1,4,3,3,Data-heavy tasks,Involves sensitive/personal information,Yes,Training,Mixed,Yes,Shared control,Always explain decisions
Middle Eastern,18–25,Male,Student,Occasionally,Data & Analysis,Safety‑Critical Decisions,3,2,3,3,4,Low-risk tasks,Involves sensitive/personal information,Yes,Ethical guidelines,Cautious,No,Human final approval required,Human final approval required
Russia,18–25,Female,Working Professional,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,3,4,2,3,4,Data-driven or analytical tasks,Needs creativity or intuition,No,Human oversight or approval options,Positive,Yes,Human supervision always,Always explain decisions
Australia,Under 18,Female,Student,Daily,Writing & Documentation,Medical & Health Decisions,4,2,2,5,3,Data-driven or analytical tasks,Needs creativity or intuition,Yes,Ethical guidelines,Cautious,No,Both integration,Do not hallucinate
United Kingdom,18–25,Female,Working Professional,Daily,Writing & Documentation,Medical & Health Decisions,4,2,4,4,3,Repetitive work,Creative judgment,No,Accuracy and reliability of results,Curious but worried,No,Human final approval required,Assist only when asked
Middle Eastern,26–60,Female,Student,Weekly,Repetitive & Routine Tasks,Medical & Health Decisions,5,3,3,5,3,Data-driven or analytical tasks,High-risk tasks,No,Ethical guidelines,Curious but worried,No,Human supervision always,Protect privacy
USA,18–25,Female,Student,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,4,3,3,5,1,Data-driven or analytical tasks,Creative judgment,No,Human oversight or approval options,Ambivalent,No,Shared control,Always explain decisions
Other,18–25,Female,Student,Occasionally,Problem Solving & Coding (Basic),Medical & Health Decisions,5,4,3,4,4,Repetitive work,Involves sensitive/personal information,Yes,Human oversight,Curious but worried,No,Human supervision always,Protect privacy
Middle Eastern,18–25,Male,Student,Weekly,Study & Learning Support,Medical & Health Decisions,4,2,4,4,2,Time-consuming administrative work,Sensitive personal data,Yes,Training,Negative,No,Human final approval required,Human supervision always
Bangladesh,26–60,Male,Student,Weekly,Repetitive & Routine Tasks,Hiring & Career Decisions,3,4,3,2,5,Low-risk tasks,High-risk tasks,No,Ethical guidelines,Negative,No,Both integration,Do not decide personal matters
USA,18–25,Prefer not to say,Student,Daily,Study & Learning Support,Creative & Value Judgment,4,3,3,3,4,Repetitive work,Involves sensitive/personal information,No,Familiarity and training,Cautious,No,Human final approval required,Human final approval required
Australia,26–60,Female,Student,Weekly,Writing & Documentation,Hiring & Career Decisions,5,3,3,4,3,Repetitive work,Creative judgment,Yes,Accuracy and reliability of results,Curious but worried,No,Both integration,Human final approval required
Bangladesh,26–60,Male,Student,Daily,Repetitive & Routine Tasks,Ethical & Human Rights,5,3,2,4,2,Low-risk tasks,Requires empathy,Yes,Training,Ambivalent,No,Shared control,Human supervision always
Russia,18–25,Male,Student,Daily,Data & Analysis,Safety‑Critical Decisions,3,4,5,5,4,Data-heavy tasks,Requires empathy,Yes,Clear explanations,Mixed,No,Human supervision always,Do not decide personal matters
Russia,Under 18,Female,Student,Occasionally,Data & Analysis,Emotional & Personal Matters,4,2,3,4,5,Data-heavy tasks,Involves sensitive/personal information,No,Clear explanations,Positive,No,AI handles small tasks only,Human final approval required
Russia,18–25,Male,Student,Daily,Study & Learning Support,Ethical & Human Rights,5,3,1,5,5,Analytical tasks,Needs creativity or intuition,No,Accuracy and reliability of results,Ambivalent,Yes,Human final approval required,Human final approval required
Other,Under 18,Male,Student,Weekly,Data & Analysis,Medical & Health Decisions,4,4,2,5,4,Data-heavy tasks,Creative judgment,No,Clear explanations,Ambivalent,Not sure,Both integration,Do not hallucinate
Other,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Ethical & Human Rights,4,3,3,4,5,Repetitive work,Requires empathy,No,Human oversight,Ambivalent,No,Human supervision always,Be transparent
Other,18–25,Male,Working Professional,Daily,Study & Learning Support,Ethical & Human Rights,4,5,1,4,4,Analytical tasks,Sensitive personal data,No,Accuracy and reliability of results,Negative,No,Shared control,Human supervision always
USA,18–25,Male,Working Professional,Weekly,Repetitive & Routine Tasks,Hiring & Career Decisions,5,3,3,4,3,Data-heavy tasks,Requires empathy,No,Ethical guidelines,Positive,No,AI handles small tasks only,Do not decide personal matters
Australia,26–60,Male,Student,Daily,Study & Learning Support,Medical & Health Decisions,4,2,3,4,5,Data-driven or analytical tasks,Sensitive personal data,No,Familiarity and training,Cautious,No,AI handles small tasks only,Always explain decisions
Bangladesh,26–60,Female,Student,Occasionally,Data & Analysis,Legal & Policy Decisions,3,2,2,4,3,Repetitive work,Involves sensitive/personal information,No,Human oversight,Positive,Yes,Shared control,Human supervision always
Middle Eastern,18–25,Male,Student,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,4,4,2,3,4,Data-driven or analytical tasks,Requires empathy,No,Familiarity and training,Negative,No,Human final approval required,Do not hallucinate
Australia,Under 18,Male,Working Professional,Daily,Study & Learning Support,Legal & Policy Decisions,5,3,4,3,5,Analytical tasks,Sensitive personal data,No,Human oversight,Ambivalent,No,Shared control,Be transparent
Middle Eastern,18–25,Female,Working Professional,Weekly,Writing & Documentation,Legal & Policy Decisions,4,1,2,4,2,Time-consuming administrative work,Needs creativity or intuition,Yes,Ethical guidelines,Ambivalent,No,AI handles small tasks only,Protect privacy
Middle Eastern,18–25,Female,Working Professional,Weekly,Study & Learning Support,Medical & Health Decisions,4,4,3,4,2,Low-risk tasks,Involves sensitive/personal information,No,Clear explanations,Cautious,Yes,Shared control,Do not hallucinate
Other,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Legal & Policy Decisions,4,4,3,4,3,Analytical tasks,Requires empathy,Yes,Transparency,Ambivalent,Yes,Human final approval required,Do not hallucinate
India,18–25,Male,Student,Weekly,Data & Analysis,Ethical & Human Rights,4,2,3,5,2,Time-consuming administrative work,Involves sensitive/personal information,No,Transparency,Negative,No,Both integration,Be transparent
Australia,18–25,Female,Student,Daily,Repetitive & Routine Tasks,Ethical & Human Rights,4,4,2,4,5,Data-driven or analytical tasks,Creative judgment,Yes,Ethical guidelines,Curious but worried,No,Shared control,Protect privacy
India,18–25,Female,Student,Daily,Study & Learning Support,Emotional & Personal Matters,4,2,2,5,2,Analytical tasks,Creative judgment,Yes,Clear explanations,Negative,Not sure,Both integration,Always explain decisions
USA,18–25,Prefer not to say,Working Professional,Daily,Study & Learning Support,Emotional & Personal Matters,4,3,3,4,4,Low-risk tasks,Involves sensitive/personal information,No,Accuracy and reliability of results,Cautious,No,AI handles small tasks only,Human supervision always
United Kingdom,26–60,Male,Student,Daily,Data & Analysis,Hiring & Career Decisions,4,2,2,3,4,Data-heavy tasks,Requires empathy,Yes,Human oversight,Negative,Not sure,Human final approval required,Always explain decisions
Russia,26–60,Male,Student,Daily,Data & Analysis,Ethical & Human Rights,4,5,2,5,5,Repetitive work,Involves sensitive/personal information,No,Training,Mixed,Yes,Both integration,Human supervision always
Australia,Under 18,Male,Student,Daily,Study & Learning Support,Ethical & Human Rights,5,5,2,5,3,Time-consuming administrative work,Needs creativity or intuition,No,Familiarity and training,Mixed,No,AI handles small tasks only,Always explain decisions
Bangladesh,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,4,3,4,5,5,Data-driven or analytical tasks,Requires empathy,Yes,Accuracy and reliability of results,Ambivalent,No,Human final approval required,Do not decide personal matters
Bangladesh,26–60,Female,Student,Occasionally,Repetitive & Routine Tasks,Medical & Health Decisions,4,3,4,4,5,Data-driven or analytical tasks,Creative judgment,No,Training,Ambivalent,Not sure,Both integration,Do not decide personal matters
Middle Eastern,Under 18,Male,Working Professional,Occasionally,Study & Learning Support,Hiring & Career Decisions,4,4,4,4,5,Time-consuming administrative work,Creative judgment,No,Ethical guidelines,Ambivalent,No,Both integration,Human supervision always
Australia,18–25,Male,Working Professional,Occasionally,Research & Information,Ethical & Human Rights,3,3,4,5,2,Data-heavy tasks,Requires empathy,Yes,Human oversight,Cautious,Not sure,AI handles small tasks only,Be transparent
United Kingdom,Under 18,Female,Working Professional,Occasionally,Writing & Documentation,Medical & Health Decisions,5,3,5,3,1,Low-risk tasks,Involves sensitive/personal information,Yes,Familiarity and training,Mixed,Yes,Human final approval required,Assist only when asked
USA,18–25,Female,Working Professional,Daily,Study & Learning Support,Ethical & Human Rights,4,2,2,5,2,Repetitive work,Needs creativity or intuition,No,Ethical guidelines,Negative,Not sure,Shared control,Human final approval required
India,18–25,Male,Other,Daily,Writing & Documentation,Emotional & Personal Matters,5,3,2,4,4,Low-risk tasks,Creative judgment,Yes,Human oversight or approval options,Positive,Not sure,Shared control,Always explain decisions
Russia,26–60,Female,Working Professional,Weekly,Creative / Design (Low‑risk),Safety‑Critical Decisions,5,4,3,4,2,Data-heavy tasks,Sensitive personal data,No,Human oversight,Ambivalent,No,Shared control,Do not decide personal matters
Other,Under 18,Female,Student,Weekly,Repetitive & Routine Tasks,Medical & Health Decisions,5,1,3,5,4,Low-risk tasks,Requires empathy,Yes,Human oversight or approval options,Positive,No,Shared control,Human final approval required
Other,26–60,Male,Student,Daily,Study & Learning Support,Emotional & Personal Matters,4,2,5,4,1,Low-risk tasks,Creative judgment,Yes,Clear explanations,Negative,No,Shared control,Human supervision always
Other,Under 18,Male,Student,Daily,Study & Learning Support,Safety‑Critical Decisions,4,3,5,5,5,Data-driven or analytical tasks,Sensitive personal data,No,Human oversight,Cautious,Yes,AI handles small tasks only,Protect privacy
United Kingdom,Under 18,Prefer not to say,Student,Daily,Data & Analysis,Emotional & Personal Matters,4,3,4,5,4,Analytical tasks,Involves sensitive/personal information,No,Transparency,Cautious,Yes,Shared control,Be transparent
India,Under 18,Prefer not to say,Working Professional,Daily,Repetitive & Routine Tasks,Ethical & Human Rights,2,2,4,4,3,Repetitive work,High-risk tasks,No,Familiarity and training,Mixed,Yes,Human supervision always,Never act without human approval on high-risk tasks
Russia,Under 18,Male,Student,Daily,Writing & Documentation,Other,5,4,5,5,3,Data-heavy tasks,"Involves sensitive/personal information, Needs creativity or intuition",No,Transparency (AI explains how it works),Not sure,Yes,Shared control,Protect privacy
USA,26–60,Female,Working Professional,Weekly,Study & Learning Support,Emotional & Personal Matters,4,4,1,4,3,"Clear rule-based tasks, Data-heavy tasks",Requires empathy or emotional understanding,No,Legal or ethical guidelines,Mixed,Yes,Human supervision always,Always explain decisions
Middle Eastern,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Creative & Value Judgment,4,3,4,3,3,Repetitive work,Has high risk or safety consequences,No,Familiarity and training,Positive,No,Both integration,Always explain decisions
Bangladesh,Under 18,Prefer not to say,Working Professional,Weekly,Data & Analysis,Emotional & Personal Matters,5,3,2,2,1,Low-risk tasks,Involves sensitive/personal information,No,Independent audits and certifications,Ambivalent,Not sure,Human final approval required,Do not hallucinate
Bangladesh,26–60,Female,Student,Daily,Study & Learning Support,Legal & Policy Decisions,5,5,5,3,1,Routine or repetitive work,High-risk tasks,Yes,Clear explanations,Cautious,Not sure,Human supervision always,Do not decide personal matters
United Kingdom,26–60,Female,Working Professional,Weekly,Study & Learning Support,Legal & Policy Decisions,4,3,1,2,3,Repetitive work,"Requires deep context about a person's life, Needs creativity or intuition",No,Clear explanations,Cautious,Yes,Human final approval required,Do not hallucinate
Other,18–25,Male,Student,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,4,3,3,5,4,"Routine or repetitive work, Time-consuming administrative work",High-risk tasks,No,Human oversight or approval options,Mixed,No,Human supervision always,Do not collect unnecessary personal data
India,Under 18,Prefer not to say,Working Professional,Weekly,Study & Learning Support,Medical & Health Decisions,5,5,5,2,3,"Tasks requiring no emotion or creativity, Simple calculations and checks",Creative judgment,No,Human oversight or approval options,Negative,No,Human supervision always,Be transparent
Bangladesh,Under 18,Prefer not to say,Student,Daily,Study & Learning Support,Hiring & Career Decisions,5,2,5,1,2,Time-consuming administrative work,Requires empathy or emotional understanding,No,Clear explanations,Curious but worried,Not sure,Human final approval required,Do not decide personal matters
United Kingdom,26–60,Female,Working Professional,Weekly,Study & Learning Support,Legal & Policy Decisions,3,3,4,1,3,"Clear rule-based tasks, Data-heavy tasks",Involves sensitive/personal information,No,Accuracy and reliability of results,Negative,No,Human final approval required,Never act without human approval on high-risk tasks
Bangladesh,26–60,Female,Working Professional,Daily,Writing & Documentation,Medical & Health Decisions,5,3,5,5,2,Data-driven or analytical tasks,Creative judgment,Yes,Transparency (AI explains how it works),Ambivalent,No,AI handles small tasks only,Be transparent
Australia,18–25,Prefer not to say,Student,Daily,Research & Information,Other,4,1,1,5,5,"Tasks requiring no emotion or creativity, Data-driven or analytical tasks",Requires deep context about a person's life,Yes,Accuracy and reliability of results,Negative,Not sure,Human supervision always,Never act without human approval on high-risk tasks
USA,18–25,Male,Other,Weekly,Writing & Documentation,Medical & Health Decisions,5,1,4,3,5,"Data-driven or analytical tasks, Routine or repetitive work",Needs cultural understanding,No,Human oversight or approval options,Negative,No,AI handles small tasks only,Do not decide personal matters
Middle Eastern,26–60,Female,Other,Daily,Research & Information,Legal & Policy Decisions,5,3,3,4,4,Data-driven or analytical tasks,"Requires empathy or emotional understanding, Needs cultural understanding",No,Clear explanations,Not sure,No,Both integration,Always explain decisions
United Kingdom,26–60,Male,Working Professional,Daily,Study & Learning Support,Legal & Policy Decisions,4,4,4,5,4,Data-heavy tasks,Involves sensitive/personal information,No,Familiarity and training,Mixed,Not sure,Both integration,Do not decide personal matters
Middle Eastern,18–25,Prefer not to say,Working Professional,Occasionally,Creative / Design (Low‑risk),Other,4,3,3,1,2,Simple calculations and checks,Needs creativity or intuition,Yes,Clear explanations,Positive,No,Human final approval required,Never act without human approval on high-risk tasks
Australia,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,3,3,5,1,3,Simple calculations and checks,Has high risk or safety consequences,Yes,Independent audits and certifications,Not sure,Yes,Both integration,Do not hallucinate
United Kingdom,Under 18,Female,Working Professional,Weekly,Study & Learning Support,Creative & Value Judgment,4,5,4,5,5,Clear rule-based tasks,Has high risk or safety consequences,No,Legal or ethical guidelines,Mixed,Yes,Assist only when asked,Do not decide personal matters
Other,Under 18,Prefer not to say,Working Professional,Daily,Repetitive & Routine Tasks,Legal & Policy Decisions,3,5,1,2,3,Data-heavy tasks,Needs cultural understanding,No,Independent audits and certifications,Curious but worried,Not sure,Shared control,Do not collect unnecessary personal data
Australia,18–25,Female,Working Professional,Weekly,Repetitive & Routine Tasks,Other,4,4,2,2,3,Tasks requiring no emotion or creativity,Involves sensitive personal data,Yes,Legal or ethical guidelines,Curious but worried,Not sure,Assist only when asked,Be transparent
USA,Under 18,Female,Student,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,4,3,5,3,5,Repetitive work,"Requires deep context about a person's life, Involves sensitive/personal information",Yes,Independent audits and certifications,Positive,Yes,Human supervision always,Do not collect unnecessary personal data
Other,Under 18,Prefer not to say,Working Professional,Daily,Writing & Documentation,Medical & Health Decisions,3,3,4,5,4,Data-driven or analytical tasks,Needs cultural understanding,Yes,Transparency (AI explains how it works),Curious but worried,Not sure,Assist only when asked,Do not hallucinate
India,26–60,Male,Working Professional,Daily,Study & Learning Support,Other,4,1,4,1,3,Simple calculations and checks,"Needs cultural understanding, High-risk tasks",No,Familiarity and training,Not sure,Not sure,Both integration,Protect privacy
India,26–60,Female,Working Professional,Weekly,Study & Learning Support,Emotional & Personal Matters,4,4,3,4,3,Data-driven or analytical tasks,High-risk tasks,Yes,Human oversight or approval options,Ambivalent,No,Both integration,Always explain decisions
Other,Under 18,Male,Working Professional,Daily,Creative / Design (Low‑risk),Creative & Value Judgment,4,3,4,4,3,"Simple calculations and checks, Data-driven or analytical tasks",Needs creativity or intuition,No,Transparency (AI explains how it works),Ambivalent,Not sure,Assist only when asked,Do not hallucinate
Australia,Under 18,Male,Working Professional,Daily,Repetitive & Routine Tasks,Other,3,1,3,3,5,"Simple calculations and checks, Repetitive work",Creative judgment,No,Accuracy and reliability of results,Negative,Yes,AI handles small tasks only,Do not collect unnecessary personal data
Other,Under 18,Prefer not to say,Working Professional,Weekly,Problem Solving & Coding (Basic),Other,3,4,5,1,2,Time-consuming administrative work,Needs cultural understanding,No,Accuracy and reliability of results,Not sure,Not sure,Both integration,Do not decide personal matters
United Kingdom,18–25,Female,Working Professional,Daily,Study & Learning Support,Emotional & Personal Matters,3,4,2,3,4,"Simple calculations and checks, Time-consuming administrative work",Creative judgment,Yes,Legal or ethical guidelines,Positive,Not sure,Human supervision always,Never act without human approval on high-risk tasks
Bangladesh,18–25,Female,Working Professional,Weekly,Writing & Documentation,Emotional & Personal Matters,4,3,1,4,4,Repetitive work,Requires deep context about a person's life,Yes,Transparency (AI explains how it works),Negative,Not sure,Human final approval required,Always explain decisions
Other,26–60,Prefer not to say,Student,Occasionally,Research & Information,Safety‑Critical Decisions,3,4,4,4,1,Low-risk tasks,"Involves sensitive personal data, Needs cultural understanding",Yes,Legal or ethical guidelines,Positive,No,AI handles small tasks only,Do not decide personal matters
Other,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,4,3,3,1,2,"Simple calculations and checks, Time-consuming administrative work",Has high risk or safety consequences,Yes,Familiarity and training,Cautious,Yes,Human supervision always,Do not collect unnecessary personal data
USA,18–25,Prefer not to say,Working Professional,Daily,Study & Learning Support,Creative & Value Judgment,3,4,5,2,3,Low-risk tasks,Creative judgment,No,Accuracy and reliability of results,Not sure,Not sure,AI handles small tasks only,Do not collect unnecessary personal data
Other,18–25,Female,Working Professional,Daily,Data & Analysis,Ethical & Human Rights,3,4,3,5,5,"Tasks requiring no emotion or creativity, Simple calculations and checks",Needs cultural understanding,Yes,Legal or ethical guidelines,Positive,Yes,Human final approval required,Always explain decisions
India,26–60,Female,Student,Weekly,Research & Information,Hiring & Career Decisions,4,4,2,4,5,Data-heavy tasks,High-risk tasks,No,Clear explanations,Ambivalent,No,Human final approval required,Be transparent
Australia,18–25,Prefer not to say,Student,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,2,4,5,3,4,Data-heavy tasks,Needs creativity or intuition,Yes,Human oversight or approval options,Negative,Yes,Human final approval required,Do not collect unnecessary personal data
USA,18–25,Female,Working Professional,Daily,Repetitive & Routine Tasks,Other,3,1,5,5,4,Tasks requiring no emotion or creativity,Involves sensitive personal data,Yes,Legal or ethical guidelines,Not sure,No,Shared control,Do not hallucinate
Australia,Under 18,Prefer not to say,Student,Daily,Study & Learning Support,Emotional & Personal Matters,4,4,4,1,4,Time-consuming administrative work,"Requires deep context about a person's life, Needs creativity or intuition",No,Clear explanations,Not sure,Not sure,Assist only when asked,Never act without human approval on high-risk tasks
Bangladesh,26–60,Female,Student,Daily,Repetitive & Routine Tasks,Safety‑Critical Decisions,4,1,2,5,2,Data-driven or analytical tasks,Creative judgment,No,Independent audits and certifications,Mixed,Not sure,AI handles small tasks only,Do not collect unnecessary personal data
United Kingdom,18–25,Prefer not to say,Working Professional,Daily,Writing & Documentation,Other,3,3,1,3,4,Routine or repetitive work,"Involves sensitive personal data, High-risk tasks",No,Familiarity and training,Negative,Not sure,Shared control,Never act without human approval on high-risk tasks
USA,Under 18,Male,Working Professional,Occasionally,Data & Analysis,Creative & Value Judgment,2,2,3,3,3,Low-risk tasks,Involves sensitive/personal information,No,Accuracy and reliability of results,Positive,Not sure,AI handles small tasks only,Do not hallucinate
India,26–60,Prefer not to say,Working Professional,Daily,Repetitive & Routine Tasks,Other,3,2,1,5,3,Repetitive work,Needs creativity or intuition,Yes,Transparency (AI explains how it works),Not sure,Not sure,Human supervision always,Always explain decisions
Bangladesh,26–60,Male,Working Professional,Daily,Research & Information,Medical & Health Decisions,5,2,5,2,3,Low-risk tasks,"High-risk tasks, Involves sensitive/personal information",No,Legal or ethical guidelines,Not sure,No,Human final approval required,Always explain decisions
Bangladesh,26–60,Female,Student,Weekly,Data & Analysis,Legal & Policy Decisions,1,5,5,3,2,Data-heavy tasks,"Involves sensitive/personal information, High-risk tasks",No,Legal or ethical guidelines,Curious but worried,Not sure,AI handles small tasks only,Protect privacy
India,26–60,Prefer not to say,Other,Daily,Repetitive & Routine Tasks,Safety‑Critical Decisions,4,2,3,4,3,Data-heavy tasks,"Involves sensitive personal data, Involves sensitive/personal information",Yes,Legal or ethical guidelines,Positive,Not sure,Assist only when asked,Do not decide personal matters
Russia,Under 18,Female,Working Professional,Occasionally,Writing & Documentation,Other,5,3,5,1,2,Low-risk tasks,Needs creativity or intuition,No,Independent audits and certifications,Curious but worried,No,Shared control,Do not collect unnecessary personal data
Bangladesh,26–60,Prefer not to say,Other,Weekly,Repetitive & Routine Tasks,Other,1,3,4,5,3,"Routine or repetitive work, Repetitive work",Involves sensitive/personal information,Yes,Legal or ethical guidelines,Cautious,No,AI handles small tasks only,Do not hallucinate
India,Under 18,Male,Working Professional,Weekly,Writing & Documentation,Hiring & Career Decisions,1,1,3,3,4,"Routine or repetitive work, Simple calculations and checks",High-risk tasks,Yes,Human oversight or approval options,Cautious,Not sure,Shared control,Be transparent
Australia,26–60,Female,Student,Daily,Repetitive & Routine Tasks,Legal & Policy Decisions,4,2,3,5,3,Repetitive work,Involves sensitive personal data,No,Familiarity and training,Cautious,Not sure,Both integration,Never act without human approval on high-risk tasks
Bangladesh,26–60,Male,Other,Occasionally,Creative / Design (Low‑risk),Emotional & Personal Matters,4,4,3,3,2,"Data-heavy tasks, Low-risk tasks",Involves sensitive/personal information,Yes,Familiarity and training,Curious but worried,Yes,AI handles small tasks only,Do not decide personal matters
Australia,18–25,Male,Working Professional,Daily,Study & Learning Support,Emotional & Personal Matters,5,1,5,4,3,Data-heavy tasks,"Requires deep context about a person's life, Involves sensitive/personal information",No,Legal or ethical guidelines,Ambivalent,No,AI handles small tasks only,Always explain decisions
Other,18–25,Male,Student,Daily,Creative / Design (Low‑risk),Creative & Value Judgment,3,4,5,1,3,Repetitive work,Needs creativity or intuition,No,Familiarity and training,Negative,Yes,Both integration,Be transparent
Bangladesh,18–25,Prefer not to say,Student,Occasionally,Writing & Documentation,Other,4,4,3,5,3,"Data-heavy tasks, Routine or repetitive work",High-risk tasks,No,Accuracy and reliability of results,Ambivalent,Not sure,Human final approval required,Do not collect unnecessary personal data
USA,26–60,Female,Working Professional,Weekly,Writing & Documentation,Ethical & Human Rights,3,4,5,3,3,"Clear rule-based tasks, Tasks requiring no emotion or creativity",High-risk tasks,No,Accuracy and reliability of results,Negative,Yes,AI handles small tasks only,Do not collect unnecessary personal data
USA,Under 18,Female,Other,Weekly,Writing & Documentation,Other,4,3,4,4,4,Low-risk tasks,"Involves sensitive personal data, Requires deep context about a person's life",Yes,Legal or ethical guidelines,Curious but worried,No,Assist only when asked,Do not collect unnecessary personal data
Other,18–25,Female,Working Professional,Occasionally,Repetitive & Routine Tasks,Emotional & Personal Matters,5,3,2,3,3,Repetitive work,Requires deep context about a person's life,Yes,Clear explanations,Not sure,Not sure,Shared control,Do not decide personal matters
USA,18–25,Male,Working Professional,Weekly,Creative / Design (Low‑risk),Safety‑Critical Decisions,5,5,3,3,3,Routine or repetitive work,Requires deep context about a person's life,Yes,Transparency (AI explains how it works),Mixed,No,Assist only when asked,Do not collect unnecessary personal data
India,Under 18,Female,Working Professional,Weekly,Study & Learning Support,Hiring & Career Decisions,4,4,3,2,2,Simple calculations and checks,High-risk tasks,Yes,Clear explanations,Negative,No,Both integration,Be transparent
USA,Under 18,Prefer not to say,Working Professional,Daily,Study & Learning Support,Safety‑Critical Decisions,4,3,5,4,3,Repetitive work,Involves sensitive/personal information,Yes,Independent audits and certifications,Curious but worried,Not sure,AI handles small tasks only,Do not hallucinate
USA,18–25,Prefer not to say,Student,Weekly,Repetitive & Routine Tasks,Medical & Health Decisions,5,1,4,4,2,Data-driven or analytical tasks,High-risk tasks,Yes,Independent audits and certifications,Ambivalent,Yes,AI handles small tasks only,Do not decide personal matters
Middle Eastern,18–25,Prefer not to say,Student,Occasionally,Repetitive & Routine Tasks,Medical & Health Decisions,3,5,3,4,5,Tasks requiring no emotion or creativity,Has high risk or safety consequences,No,Transparency (AI explains how it works),Positive,No,Assist only when asked,Do not decide personal matters
USA,18–25,Female,Student,Daily,Repetitive & Routine Tasks,Hiring & Career Decisions,5,3,5,3,5,Low-risk tasks,Has high risk or safety consequences,No,Transparency (AI explains how it works),Negative,Yes,Human supervision always,Do not collect unnecessary personal data
Bangladesh,26–60,Male,Working Professional,Daily,Research & Information,Ethical & Human Rights,3,3,1,2,3,Repetitive work,Involves sensitive personal data,Yes,Accuracy and reliability of results,Not sure,No,Assist only when asked,Protect privacy
United Kingdom,Under 18,Male,Other,Daily,Research & Information,Medical & Health Decisions,3,4,5,5,5,Data-driven or analytical tasks,Has high risk or safety consequences,Yes,Independent audits and certifications,Mixed,Not sure,Human supervision always,Be transparent
Bangladesh,26–60,Prefer not to say,Working Professional,Daily,Data & Analysis,Creative & Value Judgment,5,4,4,1,3,Tasks requiring no emotion or creativity,"Involves sensitive/personal information, Requires deep context about a person's life",Yes,Legal or ethical guidelines,Cautious,Not sure,Human final approval required,Do not decide personal matters
USA,18–25,Prefer not to say,Other,Daily,Research & Information,Creative & Value Judgment,2,2,2,3,4,"Routine or repetitive work, Clear rule-based tasks",Creative judgment,Yes,Familiarity and training,Ambivalent,Yes,Human final approval required,Always explain decisions
Russia,26–60,Male,Other,Occasionally,Study & Learning Support,Other,2,5,4,3,2,"Clear rule-based tasks, Data-driven or analytical tasks","Involves sensitive personal data, Needs cultural understanding",No,Legal or ethical guidelines,Positive,Not sure,Shared control,Do not hallucinate
Russia,26–60,Male,Working Professional,Occasionally,Problem Solving & Coding (Basic),Legal & Policy Decisions,3,5,3,3,4,Data-driven or analytical tasks,"Has high risk or safety consequences, Creative judgment",No,Independent audits and certifications,Curious but worried,No,Human supervision always,Do not collect unnecessary personal data
Russia,18–25,Male,Student,Occasionally,Study & Learning Support,Ethical & Human Rights,4,5,3,1,3,"Repetitive work, Simple calculations and checks","Involves sensitive personal data, Requires empathy or emotional understanding",Yes,Legal or ethical guidelines,Negative,No,Assist only when asked,Do not decide personal matters
